,precision,recall,f1-score,support
angry,0.9333333333333333,0.8235294117647058,0.875,17.0
ears_flat,0.75,0.5,0.6,24.0
ears_up,0.8,0.7777777777777778,0.7887323943661971,72.0
eyes_large_pupils,0.6944444444444444,0.8064516129032258,0.746268656716418,31.0
eyes_narrowed,0.56,0.4827586206896552,0.5185185185185185,29.0
eyes_small_pupils,0.65625,0.5,0.5675675675675675,42.0
happy,0.8863636363636364,0.8125,0.8478260869565217,48.0
mouth_fangs,0.6875,0.6470588235294118,0.6666666666666666,17.0
neutral,0.625,0.6060606060606061,0.6153846153846154,33.0
posture_arched_back,0.7272727272727273,0.8888888888888888,0.8,9.0
posture_exposed_belly,0.8181818181818182,0.75,0.782608695652174,12.0
posture_neutral,0.6,0.631578947368421,0.6153846153846154,19.0
posture_small,0.3,0.3333333333333333,0.3157894736842105,9.0
posture_stretch,0.7777777777777778,0.7,0.7368421052631579,10.0
scared,0.4782608695652174,0.44,0.4583333333333333,25.0
tail_neutral,0.8333333333333334,0.625,0.7142857142857143,8.0
tail_tucked,0.6,0.6923076923076923,0.6428571428571429,13.0
tail_up,0.9375,0.7894736842105263,0.8571428571428571,19.0
micro avg,0.714987714987715,0.665903890160183,0.6895734597156398,437.0
macro avg,0.703623218904016,0.6559288554907913,0.6749560246544283,437.0
weighted avg,0.7188375321215338,0.665903890160183,0.6881446864731994,437.0
samples avg,0.7091947348044909,0.6784552845528455,0.678401318645221,437.0
