,precision,recall,f1-score,support
angry,0.8125,0.7647058823529411,0.7878787878787878,17.0
ears_flat,0.6923076923076923,0.375,0.4864864864864865,24.0
ears_up,0.8055555555555556,0.8055555555555556,0.8055555555555556,72.0
eyes_large_pupils,0.7777777777777778,0.6774193548387096,0.7241379310344828,31.0
eyes_narrowed,0.48484848484848486,0.5517241379310345,0.5161290322580645,29.0
eyes_small_pupils,0.6363636363636364,0.3333333333333333,0.4375,42.0
happy,0.8269230769230769,0.8958333333333334,0.86,48.0
mouth_fangs,0.75,0.7058823529411765,0.7272727272727273,17.0
neutral,0.6666666666666666,0.5454545454545454,0.6,33.0
posture_arched_back,0.75,0.6666666666666666,0.7058823529411765,9.0
posture_exposed_belly,0.75,0.75,0.75,12.0
posture_neutral,0.7142857142857143,0.5263157894736842,0.6060606060606061,19.0
posture_small,0.25,0.1111111111111111,0.15384615384615385,9.0
posture_stretch,0.75,0.9,0.8181818181818182,10.0
scared,0.5714285714285714,0.32,0.41025641025641024,25.0
tail_neutral,0.5555555555555556,0.625,0.5882352941176471,8.0
tail_tucked,0.5833333333333334,0.5384615384615384,0.56,13.0
tail_up,0.9333333333333333,0.7368421052631579,0.8235294117647058,19.0
micro avg,0.7222222222222222,0.6247139588100686,0.6699386503067485,437.0
macro avg,0.683937744354411,0.6016280948175993,0.6311640315363679,437.0
weighted avg,0.7114128974254831,0.6247139588100686,0.6558996497065005,437.0
samples avg,0.7222222222222221,0.6421409214092141,0.6585266134046621,437.0
